Land;type;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Nordrhein-Westfalen;female;102822;102524;100492;104520;103139;103023;104030;101199;101642;101528;100474;99278;101242;101855;97807;98604;97192;96920;99949;100134;100426;98243;101059;104708;99744;105471;103512;104954;108443;104844;108353;110786;118774
Nordrhein-Westfalen;total;193117;192807;188805;194667;192669;193076;194548;189946;189147;188851;187736;184824;188333;190793;184449;186427;183741;184954;189586;190814;192137;188944;193707;200065;192913;204352;202250;204836;211140;206479;214313;220035;234075
Rheinland-Pfalz;male;20384;20527;20008;20752;19826;20109;20540;20076;19890;19802;19660;19881;19925;20548;19411;20008;19730;19984;20360;20637;20825;20863;21196;21950;21501;22572;22535;23200;23917;23358;24401;25328;26969
Rheinland-Pfalz;female;23427;23033;22627;23119;23031;22884;23212;23135;22818;22722;22428;22341;22744;23385;22152;22776;22243;22181;22572;23266;22640;22782;23208;23582;22806;24205;23328;24185;24382;24261;24768;25241;26974
Rheinland-Pfalz;total;43811;43560;42635;43871;42857;42993;43752;43211;42708;42524;42088;42222;42669;43933;41563;42784;41973;42165;42932;43903;43465;43645;44404;45532;44307;46777;45863;47385;48299;47619;49169;50569;53943
Saarland;male;6058;6044;5850;6041;5885;5957;5909;5846;5763;5941;5737;5839;5784;5995;5617;5840;5811;5893;6070;6001;5983;5986;5898;6249;6058;6505;6242;6489;6759;6623;6904;7087;7635
Saarland;female;6784;6621;6729;7012;6826;6690;6620;6609;6687;6834;6574;6477;6587;6857;6398;6472;6485;6434;6477;6587;6313;6345;6392;6576;6471;6922;6655;6786;7113;6932;6880;7189;7777
Saarland;total;12842;12665;12579;13053;12711;12647;12529;12455;12450;12775;12311;12316;12371;12852;12015;12312;12296;12327;12547;12588;12296;12331;12290;12825;12529;13427;12897;13275;13872;13555;13784;14276;15412
Sachsen;male;29746;29088;27446;27115;26204;26030;25103;24208;23089;22552;22752;22312;22596;22925;22215;22532;22271;22486;22649;23617;23874;23885;24440;25236;24791;26283;26177;26867;27587;27243;31009;32664;30017
Sachsen;female;38027;36763;34119;32785;32030;31520;30653;29275;28794;28010;27676;26932;27500;27744;26039;26376;25957;26583;26348;26748;27035;26743;26875;27700;26368;28184;27153;27822;28703;27703;31083;31709;30049
Sachsen;total;67773;65851;61565;59900;58234;57550;55756;53483;51883;50562;50428;49244;50096;50669;48254;48908;48228;49069;48997;50365;50909;50628;51315;52936;51159;54467;53330;54689;56290;54946;62092;64373;60066
Sachsen-Anhalt;male;18118;17859;16726;16546;15929;15816;15539;14294;14496;14076;14298;13954;14250;14062;13892;14002;13980;14059;14344;14690;14781;14780;14786;15411;15137;16024;15701;16469;16727;16235;17134;19141;18967
Sachsen-Anhalt;female;20593;20344;19028;18292;17887;17703;17100;16598;16515;15983;15877;15667;15909;15570;15116;15275;15171;15333;15561;15790;15948;15403;15535;15974;15693;16345;15752;16326;16758;16064;16670;18148;18330
Sachsen-Anhalt;total;38711;38203;35754;34838;33816;33519;32639;30892;31011;30059;30175;29621;30159;29632;29008;29277;29151;29392;29905;30480;30729;30183;30321;31385;30830;32369;31453;32795;33485;32299;33804;37289;37297
Schleswig-Holstein;male;14343;14342;13716;14068;13966;14196;14152;13766;13670;13600;13702;13676;13689;13890;13728;13760;13869;14067;14315;14593;14825;14787;14759;15844;15414;16587;16814;16898;17843;17551;17710;18377;20317
Schleswig-Holstein;female;17118;16860;16583;17155;16800;17092;17162;16508;16372;16510;16119;15991;16214;16653;16101;15909;15946;15867;16404;16421;16376;16194;16684;16885;16262;17076;17065;17557;18078;17409;17482;18415;20373
Schleswig-Holstein;total;31461;31202;30299;31223;30766;31288;31314;30274;30042;30110;29821;29667;29903;30543;29829;29669;29815;29934;30719;31014;31201;30981;31443;32729;31676;33663;33879;34455;35921;34960;35192;36792;40690
Thuringen;male;15322;14736;14000;13824;13399;13498;13328;12881;12594;12490;12113;11845;12144;12378;11981;12071;12243;12330;12434;12674;12938;12749;13117;13341;13281;14177;14104;14337;14824;14499;15334;17800;16665
Thuringen;female;18167;17229;16155;16042;15478;15529;15140;14813;14397;14100;13968;13654;13856;13842;13344;13624;13356;13482;13842;14100;13763;13971;14024;14252;13676;14653;14208;15024;15000;14697;14892;17030;16132
Thuringen;total;33489;31965;30155;29866;28877;29027;28468;27694;26991;26590;26081;25499;26000;26220;25325;25695;25599;25812;26276;26774;26701;26720;27141;27593;26957;28830;28312;29361;29824;29196;30226;34830;32797

