Year;Country;Arrivals from foreign countries(german);Departures to foreign countries(german);Arrivals from foreign countries;Departures to foreign countries
2018;Hungary;656;1249;41925;37396
2018;Ukraine;1191;345;13945;7057
2018;United Kingdom;6418;7032;21627;17182
2018;Belarus;220;157;2350;1220
2018;Serbia;230;189;28248;18267
2018;Cyprus;123;325;767;705
2018;Algeria;183;184;2871;3833
2018;Angola;22;17;399;323
2018;Ethiopia;165;120;1641;1080
2018;Cote d'Ivoire;37;29;595;707
2018;Nigeria;189;120;8832;708
2018;Ghana;179;132;2903;2357
2018;Kenya;234;208;1254;687
2018;Congo, Republic of the;15;7;158;112
2018;Congo, The Democratic Republic of the;32;43;446;233
2018;Libya;45;42;2539;1972
2018;Morocco;545;417;6804;5221
2018;Niger;17;17;446;210
2018;Cameroon;133;83;3368;1174
2018;South Africa;1216;798;2735;1454
2018;Rwanda;37;32;239;103
2018;Namibia;324;211;467;293
2018;Senegal;76;49;642;700
2018;Somalia;18;18;2737;135
2018;Tanzania;127;123;509;310
2018;Tunisia;412;336;5195;3078
2018;Uganda;86;94;532;232
2018;Egypt;584;577;6535;3272
2018;Central African Republic;19;29;66;65
2018;Argentina;467;351;2902;1658
2018;Bolivia, Plurinational State;277;207;618;379
2018;Brazil;1791;986;13254;7103
2018;Chile;625;491;2524;1575
2018;Costa Rica;188;182;557;407
2018;Honduras;41;28;237;91
2018;Canada;1831;2392;5579;5360
2018;Colombia;493;406;4240;2120
2018;Mexico;1115;989;6089;4017
2018;Nicaragua;140;43;362;108
2018;Paraguay;345;438;609;615
2018;Peru;391;243;1621;763
2018;Uruguay;121;104;364;200
2018;Venezuela, Bolivarian Republic of;339;76;1830;383
2018;United States;10144;10447;31699;28143
2018;Yemen;11;13;1178;252
2018;Armenia;32;34;1741;1972
2018;Afghanistan, Republic of;138;63;7520;822
2018;Azerbaijan;46;22;2721;1892
2018;Georgia;87;88;6050;5342
2018;Viet Nam;300;294;6587;2608
2018;Korea, Democratic People's Republic;17;19;170;193
2018;India;742;711;30723;15700
2018;Indonesia;429;417;3310;1922
2018;Iraq;917;636;16625;3084
2018;Iran, Islamic Republic of;422;231;14520;1422
2018;Israel;534;515;2795;1929
2018;Japan;652;730;7663;6830
2018;Kazakhstan;2199;308;4542;1091
2018;Jordan;369;226;2796;1559
2018;Kuwait;51;50;1310;1099
2018;Kyrgyzstan;166;79;1313;725
